"codigo","tipo","quantidade_teorica","participacao_percentual","quantidade_teorica_total","quantidade_teorica_acao","participacao_percentual_acao","quantidade_dias_ultima_data_referencia","data_referencia","acao"
"TOTS3","ON NM","540206440","0.874","98933369823","540206440","0.8740000128746033","4","2025-03-23","TOTVS"
"AZUL4","PN N2","326872005","0.057","98933369823","326872005","0.05700000002980232","4","2025-03-23","AZUL"
"CVCB3","ON ATZ NM","525591097","0.049","98933369823","525591097","0.04899999871850014","4","2025-03-23","CVC BRASIL"
"PETR3","ON N2","2255782178","4.282","98933369823","6686914838","11.954999923706055","4","2025-03-23","PETROBRAS"
"EQTL3","ON NM","1253541010","1.946","98933369823","1253541010","1.9459999799728394","4","2025-03-23","EQUATORIAL"
"PETR4","PN ATZ N2","4431132660","7.673","98933369823","6686914838","11.954999923706055","4","2025-03-23","PETROBRAS"
"MRFG3","ON NM","302019876","0.259","98933369823","302019876","0.2590000033378601","4","2025-03-23","MARFRIG"
"AURE3","ON NM","323738747","0.121","98933369823","323738747","0.12099999934434891","4","2025-03-23","AUREN"
"FLRY3","ON NM","455988366","0.254","98933369823","455988366","0.2540000081062317","4","2025-03-23","FLEURY"
"STBP3","ON NM","855712622","0.538","98933369823","855712622","0.5379999876022339","4","2025-03-23","SANTOS BRP"
"BRAV3","ON NM","460791208","0.419","98933369823","460791208","0.4189999997615814","4","2025-03-23","BRAVA"
"CPLE6","PNB N2","1679233590","0.826","98933369823","1679233590","0.8259999752044678","4","2025-03-23","COPEL"
"GOAU4","PN N1","649238303","0.288","98933369823","649238303","0.2879999876022339","4","2025-03-23","GERDAU MET"
"LREN3","ON NM","1051120777","0.614","98933369823","1051120777","0.6140000224113464","4","2025-03-23","LOJAS RENNER"
"ENEV3","ON NM","1929556616","1.11","98933369823","1929556616","1.1100000143051147","4","2025-03-23","ENEVA"
"CXSE3","ON NM","517500000","0.368","98933369823","517500000","0.36800000071525574","4","2025-03-23","CAIXA SEGURI"
"HYPE3","ON NM","370735677","0.356","98933369823","370735677","0.35600000619888306","4","2025-03-23","HYPERA"
"RAIZ4","PN N2","1198936529","0.105","98933369823","1198936529","0.10499999672174454","4","2025-03-23","RAIZEN"
"CMIN3","ON N2","1646519336","0.494","98933369823","1646519336","0.49399998784065247","4","2025-03-23","CSNMINERACAO"
"BRFS3","ON NM","814523002","0.76","98933369823","814523002","0.7599999904632568","4","2025-03-23","BRF SA"
"CSAN3","ON NM","1150987430","0.42","98933369823","1150987430","0.41999998688697815","4","2025-03-23","COSAN"
"CCRO3","ON NM","991920937","0.55","98933369823","991920937","0.550000011920929","4","2025-03-23","CCR SA"
"GGBR4","PN N1","1242683687","1.002","98933369823","1242683687","1.0019999742507935","4","2025-03-23","GERDAU"
"RENT3","ON NM","965986531","1.521","98933369823","965986531","1.5210000276565552","4","2025-03-23","LOCALIZA"
"RDOR3","ON NM","1145289019","1.547","98933369823","1145289019","1.5470000505447388","4","2025-03-23","REDE D OR"
"USIM5","PNA N1","515193199","0.14","98933369823","515193199","0.14000000059604645","4","2025-03-23","USIMINAS"
"CPFE3","ON NM","187732538","0.337","98933369823","187732538","0.3370000123977661","4","2025-03-23","CPFL ENERGIA"
"CMIG4","PN N1","1858636840","0.945","98933369823","1858636840","0.9449999928474426","4","2025-03-23","CEMIG"
"MGLU3","ON NM","353448195","0.168","98933369823","353448195","0.1679999977350235","4","2025-03-23","MAGAZ LUIZA"
"TAEE11","UNT N2","218568234","0.356","98933369823","218568234","0.35600000619888306","4","2025-03-23","TAESA"
"NTCO3","ON NM","850935197","0.38","98933369823","850935197","0.3799999952316284","4","2025-03-23","GRUPO NATURA"
"VIVT3","ON","382442128","0.898","98933369823","382442128","0.8980000019073486","4","2025-03-23","TELEF BRASIL"
"IRBR3","ON NM","81838243","0.2","98933369823","81838243","0.20000000298023224","4","2025-03-23","IRBBRASIL RE"
"CRFB3","ON NM","532664283","0.188","98933369823","532664283","0.18799999356269836","4","2025-03-23","CARREFOUR BR"
"IGTI11","UNT N1","211783588","0.189","98933369823","211783588","0.1889999955892563","4","2025-03-23","IGUATEMI S.A"
"ISAE4","PN N1","395801044","0.43","98933369823","395801044","0.4300000071525574","4","2025-03-23","ISA ENERGIA"
"AZZA3","ON NM","136643320","0.154","98933369823","136643320","0.15399999916553497","4","2025-03-23","AZZAS 2154"
"SLCE3","ON NM","194261422","0.171","98933369823","194261422","0.17100000381469727","4","2025-03-23","SLC AGRICOLA"
"SANB11","UNT","356586730","0.451","98933369823","356586730","0.45100000500679016","4","2025-03-23","SANTANDER BR"
